Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Union Bank Apps,2023,9,0.87,324.39,0.0,0.0,0.0,0.0,0.87,324.39
AU Small Finance Bank App,2023,9,0.66,214.25,0.0,0.0,0.0,0.0,0.66,214.25
GOAXB,2023,9,0.64,74.94,0.0,0.0,0.0,0.0,0.64,74.94
Karnataka Bank App,2023,9,0.62,125.7,0.0,0.0,0.0,0.0,0.62,125.7
DBS Bank Apps,2023,9,0.45,178.89,0.0,0.0,0.0,0.53,0.45,179.42
Central Bank of India App,2023,9,0.4,94.84,0.0,0.0,0.0,0.38,0.4,95.22
UCO Bank App,2023,9,0.37,127.06,0.0,0.0,0.0,0.0,0.37,127.06
Indian Bank App,2023,9,0.32,89.16,0.0,0.0,0.01,60.16,0.33,149.32
Bank of India App,2023,9,0.28,86.17,0.0,0.0,0.0,0.0,0.28,86.17
NAVIAXIS,2023,9,0.27,17.75,0.0,0.0,0.0,0.0,0.27,17.75
South Indian Bank App,2023,9,0.26,72.9,0.0,0.0,0.0,0.0,0.26,72.9
Fino Payments Bank App,2023,9,0.22,15.99,0.0,0.0,0.0,0.0,0.22,15.99
BPAYWALLET,2023,9,0.19,42.31,0.0,0.0,0.0,0.0,0.19,42.31
HSBC Bank App,2023,9,0.16,101.08,0.0,0.12,0.0,0.0,0.16,101.2
Tamilnad Mercantile Bank Apps,2023,9,0.1,26.99,0.0,0.0,0.0,0.0,0.1,26.99
TataNeu,2023,9,0.09,14.82,0.0,0.0,0.0,0.0,0.09,14.82
Fave,2023,9,0.09,6.34,0.0,0.0,0.0,0.0,0.09,6.34
Ultracash,2023,9,0.08,4.77,0.0,0.0,0.0,0.0,0.08,4.77
Citi Bank App,2023,9,0.08,61.34,0.0,0.0,0.0,0.0,0.08,61.34
INDIE,2023,9,0.07,16.09,0.0,0.0,0.0,0.0,0.07,16.09
Indian Overseas Bank Apps,2023,9,0.07,19.12,0.0,0.0,0.0,0.0,0.07,19.12
City Union Bank App,2023,9,0.07,20.6,0.0,0.0,0.0,0.0,0.07,20.6
IDBI Bank App,2023,9,0.06,32.31,0.0,0.0,0.0,0.0,0.06,32.31
Bank of Maharashtra App,2023,9,0.05,8.55,0.0,0.0,0.0,0.0,0.05,8.55
Karur Vysya Bank App,2023,9,0.04,15.87,0.0,0.0,0.0,0.0,0.04,15.87
MakeMyTrip,2023,9,0.04,21.32,0.0,0.0,0.0,0.0,0.04,21.32
Shriram One,2023,9,0.03,2.8,0.0,0.0,0.0,0.0,0.03,2.8
NSDL Payments Bank App,2023,9,0.03,5.78,0.0,0.0,0.0,0.0,0.03,5.78
Equitas Small Apps,2023,9,0.03,19.39,0.0,0.0,0.0,0.0,0.03,19.39
Digikhata,2023,9,0.03,10.8,0.0,0.0,0.0,0.0,0.03,10.8
Slice,2023,9,0.03,3.8,0.0,0.0,0.0,0.0,0.03,3.8
Allahabad Bank App,2023,9,0.03,7.15,0.0,0.0,0.0,0.0,0.03,7.15
Punjab Sindh Bank App,2023,9,0.03,12.32,0.0,0.0,0.0,0.0,0.03,12.32
Dhani,2023,9,0.02,2.58,0.0,0.0,0.0,0.0,0.02,2.58
Utkarsh Small Finance Bank,2023,9,0.02,6.63,0.0,0.0,0.0,0.0,0.02,6.63
Jammu and Kashmir Bank App,2023,9,0.01,2.56,0.0,0.0,0.0,0.0,0.01,2.56
Dhanlaxmi Bank App,2023,9,0.01,3.46,0.0,0.0,0.0,0.0,0.01,3.46
GoIbibo,2023,9,0.01,2.34,0.0,0.0,0.0,0.0,0.01,2.34
Others,2023,9,0.06,10.18,0.0,0.0,0.0,0.06,0.06,10.25
PhonePe,2024,9,7221.22,1030871.0,0.0,0.0,0.0,0.0,7221.22,1030871.0
Google Pay,2024,9,5625.22,746690.05,0.0,0.0,0.0,0.0,5625.22,746690.05
Paytm,2024,9,1064.62,113351.53,0.0,0.01,0.0,0.0,1064.62,113351.54
Cred,2024,9,140.0,47982.71,0.0,0.0,0.0,0.0,140.0,47982.71
Navi,2024,9,120.41,6549.1,0.0,0.0,0.0,0.0,120.41,6549.1
Axis Bank Apps,2024,9,17.88,4248.02,102.5,1736.7,0.01,1.76,120.38,5986.48
Amazon Pay,2024,9,70.98,7845.04,0.0,0.0,0.0,0.0,70.98,7845.04
FamApp by Trio,2024,9,61.05,714.29,0.0,0.0,0.0,0.0,61.05,714.29
ICICI Bank Apps,2024,9,50.84,17864.44,0.01,7.85,2.74,3203.84,53.59,21076.12
WhatsApp,2024,9,48.75,3586.71,0.0,0.0,0.0,0.0,48.75,3586.71
Kotak Mahindra Bank Apps,2024,9,47.14,6413.16,0.0,0.0,0.0,0.0,47.14,6413.16
HDFC Bank Apps,2024,9,35.84,8995.98,0.29,0.53,0.01,0.6,36.14,8997.11
Yes Bank Apps,2024,9,30.61,9747.12,0.0,0.02,0.66,30.35,31.27,9777.48
BHIM,2024,9,26.39,8466.3,0.0,0.0,0.0,0.0,26.39,8466.3
super.money #,2024,9,25.75,1131.59,0.0,0.0,0.0,0.0,25.75,1131.59
Airtel Payments Bank Apps,2024,9,17.41,1278.37,0.0,0.01,0.0,0.06,17.41,1278.38
Mobikwik,2024,9,16.07,2964.08,0.0,0.0,0.0,0.0,16.07,2964.08
Groww,2024,9,13.46,9526.49,0.0,0.0,0.0,0.0,13.46,9526.49
Flipkart UPI,2024,9,12.85,734.8,0.0,0.0,0.0,0.0,12.85,734.8
Bajaj Finserv,2024,9,11.15,2711.55,0.0,0.0,0.0,0.0,11.15,2711.55
Slice,2024,9,10.62,792.06,0.0,0.0,0.0,0.0,10.62,792.06
SBI Bank Apps,2024,9,9.8,2883.41,0.0,0.0,0.0,0.0,9.8,2883.42
IDFC First Bank Apps,2024,9,8.33,1838.99,0.0,0.0,0.0,0.0,8.33,1838.99
Samsung Pay,2024,9,7.33,564.5,0.0,0.0,0.0,0.0,7.33,564.5
India Post Payments Bank App,2024,9,6.96,908.78,0.0,0.0,0.0,0.0,6.96,908.78
Federal Bank App,2024,9,6.3,918.67,0.0,0.0,0.0,0.0,6.3,918.67
Jupiter Money,2024,9,6.13,810.01,0.0,0.0,0.0,0.0,6.13,810.01
Deutsche Bank App,2024,9,3.05,348.84,0.0,0.0,0.0,0.06,3.05,348.9
Canara Bank App,2024,9,3.04,799.52,0.0,0.0,0.0,0.0,3.04,799.52
Jio Payments Bank App,2024,9,2.79,212.23,0.0,0.0,0.0,0.0,2.79,212.23
Punjab National Bank App,2024,9,2.74,606.83,0.0,0.0,0.0,0.0,2.74,606.83
Indian Bank App,2024,9,2.69,424.84,0.0,0.0,0.0,0.05,2.69,424.89
Pop Club,2024,9,1.81,131.2,0.0,0.0,0.0,0.0,1.81,131.2
Timepay,2024,9,1.74,15.26,0.0,0.0,0.0,0.0,1.74,15.26
RBL Bank App,2024,9,1.64,599.18,0.0,0.0,0.01,4.26,1.66,603.44
OMNI,2024,9,1.31,74.96,0.0,0.0,0.0,0.0,1.31,74.96
Bank of Baroda Apps,2024,9,1.12,452.89,0.0,0.0,0.0,0.0,1.12,452.89
Central Bank of India App,2024,9,0.97,189.93,0.0,0.0,0.0,0.0,0.97,189.93
Jammu and Kashmir Bank App,2024,9,0.77,118.94,0.0,0.0,0.0,0.0,0.77,118.94
Aditya Birla Capital Digital,2024,9,0.72,32.26,0.0,0.0,0.0,0.0,0.72,32.26
Union Bank Apps,2024,9,0.62,212.37,0.0,0.0,0.0,0.0,0.62,212.37
South Indian Bank App,2024,9,0.6,169.06,0.0,0.0,0.0,0.0,0.6,169.06
DBS Bank Apps,2024,9,0.52,199.76,0.0,0.0,0.0,0.66,0.52,200.42
HSBC Bank App,2024,9,0.5,153.35,0.0,0.1,0.0,0.09,0.51,153.54
Fino Payments Bank App,2024,9,0.49,57.89,0.0,0.0,0.0,0.0,0.49,57.89
AU Small Finance Bank App,2024,9,0.46,136.87,0.0,0.0,0.0,0.0,0.46,136.87
Digikhata,2024,9,0.38,122.41,0.0,0.0,0.0,0.0,0.38,122.41
INDIE,2024,9,0.35,88.4,0.0,0.0,0.01,2.17,0.36,90.58
Shriram One,2024,9,0.35,42.33,0.0,0.0,0.0,0.0,0.35,42.33
GoKiwi,2024,9,0.29,44.31,0.0,0.0,0.0,0.0,0.29,44.31
Suryoday,2024,9,0.29,0.03,0.0,0.0,0.0,0.0,0.29,0.03
UCO Bank App,2024,9,0.26,59.89,0.0,0.0,0.0,0.0,0.26,59.89
TataNeu,2024,9,0.21,40.5,0.0,0.0,0.0,0.0,0.21,40.5
Indian Overseas Bank Apps,2024,9,0.17,48.02,0.0,0.0,0.0,0.0,0.17,48.02
Standard Chartered Bank App,2024,9,0.17,108.84,0.0,0.0,0.0,0.02,0.17,108.86
Karnataka Bank App,2024,9,0.15,31.93,0.0,0.0,0.0,0.0,0.15,31.93
Bank of India App,2024,9,0.15,35.33,0.0,0.0,0.0,0.0,0.15,35.33
Dhani,2024,9,0.13,15.76,0.0,0.0,0.0,0.0,0.13,15.76
Ultracash,2024,9,0.12,8.71,0.0,0.0,0.0,0.0,0.12,8.71
Niyo Global,2024,9,0.09,49.74,0.0,0.0,0.0,0.0,0.09,49.74
IDBI Bank App,2024,9,0.09,34.69,0.0,0.0,0.0,0.0,0.09,34.69
NSDL Payments Bank App,2024,9,0.08,10.6,0.0,0.0,0.0,0.0,0.08,10.6
City Union Bank App,2024,9,0.07,27.34,0.0,0.0,0.0,0.0,0.07,27.34
Tamilnad Mercantile Bank Apps,2024,9,0.07,22.04,0.0,0.0,0.0,0.0,0.07,22.04
Rapipay,2024,9,0.06,9.55,0.0,0.0,0.0,0.0,0.06,9.55
Bharat Pe,2024,9,0.06,6.03,0.0,0.0,0.0,0.0,0.06,6.03
True Balance,2024,9,0.05,6.37,0.0,0.0,0.0,0.0,0.05,6.37
One Card #,2024,9,0.05,27.93,0.0,0.0,0.0,0.0,0.05,27.93
Karur Vysya Bank App,2024,9,0.05,16.83,0.0,0.0,0.0,0.0,0.05,16.83
Salary Se #,2024,9,0.04,1.78,0.0,0.0,0.0,0.0,0.04,1.78
Freo #,2024,9,0.04,1.91,0.0,0.0,0.0,0.0,0.04,1.91
Punjab Sindh Bank App,2024,9,0.03,16.39,0.0,0.0,0.0,0.0,0.03,16.39
Equitas Small Apps,2024,9,0.03,24.45,0.0,0.0,0.0,0.0,0.03,24.45
Citi Bank App,2024,9,0.03,1.76,0.0,0.0,0.0,0.17,0.03,1.93
Allahabad Bank App,2024,9,0.02,5.54,0.0,0.0,0.0,0.0,0.02,5.54
Others,2024,9,1.71,203.3,0.0,0.0,0.15,5.06,1.86,208.36
